,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,43.93 $\pm$ 0.85,86.11 $\pm$ 0.94,77.47 $\pm$ 1.12,86.96 $\pm$ 1.02,85.47 $\pm$ 0.67
1,20,31.68 $\pm$ 2.56,82.85 $\pm$ 0.9,75.22 $\pm$ 0.75,84.23 $\pm$ 0.61,80.74 $\pm$ 1.15
2,30,32.35 $\pm$ 2.93,83.74 $\pm$ 1.65,75.96 $\pm$ 1.63,85.39 $\pm$ 1.7,80.81 $\pm$ 1.71
3,40,40.19 $\pm$ 8.72,86.38 $\pm$ 1.84,78.25 $\pm$ 1.31,87.77 $\pm$ 1.35,84.01 $\pm$ 2.92
4,50,35.03 $\pm$ 11.29,85.17 $\pm$ 2.88,77.58 $\pm$ 2.4,86.62 $\pm$ 2.4,81.59 $\pm$ 3.8
5,60,22.25 $\pm$ 4.32,81.03 $\pm$ 1.65,74.36 $\pm$ 1.17,82.79 $\pm$ 1.38,75.71 $\pm$ 2.23
6,70,20.96 $\pm$ 2.95,82.82 $\pm$ 1.02,76.81 $\pm$ 1.56,85.08 $\pm$ 1.5,76.6 $\pm$ 0.8
7,80,26.68 $\pm$ 9.68,83.9 $\pm$ 1.88,77.15 $\pm$ 1.51,85.79 $\pm$ 1.59,78.75 $\pm$ 3.66
8,90,16.21 $\pm$ 7.64,80.3 $\pm$ 2.38,76.48 $\pm$ 1.12,84.21 $\pm$ 1.24,72.64 $\pm$ 4.78
9,100,13.21 $\pm$ 8.28,77.21 $\pm$ 3.9,76.24 $\pm$ 1.41,82.35 $\pm$ 1.49,69.02 $\pm$ 7.0
