,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,35.61 $\pm$ 3.4,80.07 $\pm$ 0.98,72.34 $\pm$ 0.75,79.11 $\pm$ 1.06,80.5 $\pm$ 1.47
1,20,28.12 $\pm$ 4.66,78.03 $\pm$ 3.17,70.76 $\pm$ 2.64,76.95 $\pm$ 4.21,76.81 $\pm$ 3.14
2,30,21.29 $\pm$ 0.95,76.63 $\pm$ 0.23,69.84 $\pm$ 0.31,77.59 $\pm$ 1.03,73.49 $\pm$ 0.5
3,40,21.6 $\pm$ 3.61,78.76 $\pm$ 3.35,72.04 $\pm$ 2.8,80.87 $\pm$ 3.43,74.32 $\pm$ 3.15
4,50,32.96 $\pm$ 5.7,84.28 $\pm$ 1.45,76.45 $\pm$ 1.15,85.4 $\pm$ 1.43,80.68 $\pm$ 2.12
5,60,19.64 $\pm$ 6.53,76.85 $\pm$ 4.47,70.37 $\pm$ 3.81,77.34 $\pm$ 5.5,72.31 $\pm$ 4.87
6,70,16.23 $\pm$ 2.51,79.64 $\pm$ 1.98,73.76 $\pm$ 2.89,80.86 $\pm$ 3.3,73.53 $\pm$ 0.84
7,80,14.75 $\pm$ 2.71,79.7 $\pm$ 1.97,75.23 $\pm$ 2.24,82.43 $\pm$ 2.24,72.91 $\pm$ 2.15
8,90,12.51 $\pm$ 2.03,77.27 $\pm$ 1.74,74.2 $\pm$ 2.01,80.61 $\pm$ 2.21,70.02 $\pm$ 1.86
9,100,12.24 $\pm$ 5.34,78.02 $\pm$ 3.78,74.9 $\pm$ 2.57,81.14 $\pm$ 3.15,70.31 $\pm$ 4.88
