Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	21.5081	79.8509	73.0691	83.4689	75.5387
10	imagenet	17.2943	72.5224	66.4450	74.0038	69.6069
10	lsun	20.9017	75.8163	68.9100	78.3522	73.0420
20	svhn	16.7464	80.3036	75.8681	85.1018	73.8354
20	imagenet	17.9385	77.4588	71.3400	77.5839	72.9947
20	lsun	20.0927	78.9085	72.4650	80.3562	75.0318
30	svhn	10.7321	76.5865	73.7171	81.4466	68.0941
30	imagenet	14.8055	75.6928	69.2550	73.5922	70.0226
30	lsun	16.3054	73.7898	70.7900	75.8028	71.8820
40	svhn	12.6640	78.1866	74.0227	79.2030	70.5248
40	imagenet	13.9051	76.6141	69.5150	71.1067	69.9801
40	lsun	16.6038	78.3691	71.5050	74.7951	72.6102
50	svhn	10.8406	78.0989	74.2253	81.1157	69.5600
50	imagenet	11.5498	73.9455	66.7550	68.1371	67.0440
50	lsun	12.7009	75.3667	69.1200	71.8077	68.7675
60	svhn	15.7038	80.1457	74.4167	78.6397	73.2050
60	imagenet	10.6003	73.0164	63.5800	62.1069	64.5487
60	lsun	12.2400	74.5751	65.9500	65.0990	66.9685
70	svhn	15.6376	80.2200	74.1424	78.9875	73.2235
70	imagenet	15.9499	77.6965	70.1700	71.8581	71.7344
70	lsun	15.6434	78.0978	71.1750	73.6060	71.9778
80	svhn	8.1496	73.5941	67.5826	66.4070	63.8612
80	imagenet	16.7160	79.0390	71.6650	73.6645	72.9115
80	lsun	21.2399	81.8412	74.9250	79.2428	76.9649
90	svhn	12.5280	79.3219	74.8736	79.8731	71.2718
90	imagenet	16.5977	77.9287	70.3150	72.2338	72.2396
90	lsun	17.8618	77.9940	69.7500	71.5276	72.7536
100	svhn	12.7083	80.2100	75.6477	77.2016	71.9140
100	imagenet	14.7065	78.8373	69.5400	68.4340	71.7645
100	lsun	16.8213	80.2566	72.2450	72.3472	73.8628
