Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	21.0761	84.5253	79.5539	88.1346	77.4397
10	imagenet	38.4154	80.8309	71.9300	80.7221	81.2365
10	lsun	38.4952	84.0295	75.1200	85.5416	82.8402
20	svhn	17.6568	82.2205	77.7026	86.8599	74.2262
20	imagenet	18.2438	74.7483	68.3450	74.5421	70.6597
20	lsun	17.8163	76.6493	70.8850	78.4018	71.2596
30	svhn	4.6391	75.6285	71.8248	80.9376	65.6329
30	imagenet	18.6198	78.8366	71.9200	80.3883	73.3817
30	lsun	19.6826	81.6944	75.0350	84.2139	75.3541
40	svhn	16.5779	81.5402	76.9754	84.9299	74.2561
40	imagenet	27.5969	83.0639	75.7050	84.2584	79.6422
40	lsun	34.5513	86.1962	78.7900	87.7471	83.2315
50	svhn	17.8076	83.7488	79.1979	87.3974	76.0588
50	imagenet	15.2197	77.4420	70.8750	74.2805	70.8601
50	lsun	16.6461	79.4123	73.1250	78.1009	72.9775
60	svhn	13.7931	80.6785	76.2356	82.1481	72.4037
60	imagenet	14.9667	77.4983	70.3700	72.1027	70.5281
60	lsun	16.3265	78.6650	72.1600	75.1737	72.1567
70	svhn	16.9604	84.1796	78.5382	78.9718	75.5405
70	imagenet	15.0260	81.1316	69.6450	66.5913	71.0576
70	lsun	16.1791	82.2271	72.4650	70.0784	72.6645
80	svhn	15.0643	84.3297	73.7583	69.8852	74.0690
80	imagenet	18.4367	84.7067	72.3450	68.5107	75.6233
80	lsun	18.6662	85.2737	74.4050	70.9901	76.3527
90	svhn	16.5861	86.4941	75.7849	71.4695	76.6308
90	imagenet	16.6892	85.3230	68.5500	63.8009	74.7646
90	lsun	17.1829	85.9415	71.5150	66.7685	75.7855
100	svhn	29.5069	88.4755	78.9576	76.4039	83.5769
100	imagenet	18.1629	85.5396	70.6600	66.0005	76.0273
100	lsun	18.4068	86.0056	72.2400	67.7182	75.7524
