,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,12.27 $\pm$ 3.76,79.08 $\pm$ 2.61,76.38 $\pm$ 1.2,84.63 $\pm$ 1.53,70.28 $\pm$ 3.69
1,20,17.63 $\pm$ 5.72,80.78 $\pm$ 2.73,75.66 $\pm$ 2.21,84.41 $\pm$ 2.76,74.03 $\pm$ 4.06
2,30,17.02 $\pm$ 4.39,81.0 $\pm$ 2.66,75.74 $\pm$ 2.14,83.77 $\pm$ 2.86,73.56 $\pm$ 3.29
3,40,14.03 $\pm$ 4.51,79.44 $\pm$ 1.77,74.99 $\pm$ 1.17,82.83 $\pm$ 1.33,71.55 $\pm$ 3.24
4,50,12.27 $\pm$ 4.9,78.6 $\pm$ 3.73,74.61 $\pm$ 2.56,80.68 $\pm$ 3.48,69.71 $\pm$ 4.66
5,60,18.1 $\pm$ 4.27,81.65 $\pm$ 2.73,77.94 $\pm$ 1.88,84.36 $\pm$ 2.18,75.14 $\pm$ 2.74
6,70,18.22 $\pm$ 2.36,83.86 $\pm$ 0.3,76.42 $\pm$ 1.16,75.07 $\pm$ 2.27,76.46 $\pm$ 1.64
7,80,25.67 $\pm$ 8.24,85.95 $\pm$ 1.24,76.34 $\pm$ 2.11,74.44 $\pm$ 3.9,79.46 $\pm$ 3.87
8,90,26.53 $\pm$ 5.2,87.76 $\pm$ 0.65,77.55 $\pm$ 1.69,74.48 $\pm$ 2.87,81.65 $\pm$ 2.09
9,100,32.09 $\pm$ 11.83,88.2 $\pm$ 1.47,77.38 $\pm$ 5.53,76.54 $\pm$ 8.7,81.98 $\pm$ 5.79
