Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	cifar10	85.5539	98.0086	93.1054	98.2982	97.8373
10	imagenet	99.6778	99.9602	99.3206	99.9587	99.9628
10	lsun	99.9268	99.9896	99.7151	99.9893	99.9902
20	cifar10	86.2636	98.0311	92.9032	98.2536	97.9132
20	imagenet	99.8342	99.9749	99.4833	99.9741	99.9765
20	lsun	99.9903	99.9976	99.8573	99.9976	99.9977
30	cifar10	79.8456	97.1545	91.6614	97.5964	96.8615
30	imagenet	99.8682	99.9801	99.5701	99.9794	99.9814
30	lsun	99.9800	99.9950	99.8896	99.9947	99.9956
40	cifar10	71.5608	96.2297	91.3249	96.8022	95.2312
40	imagenet	99.5576	99.9339	98.9383	99.9218	99.9381
40	lsun	99.9233	99.9856	99.5528	99.9853	99.9861
50	cifar10	67.5189	95.4485	89.1337	95.4366	94.9191
50	imagenet	99.5677	99.9398	99.4427	99.9254	99.9464
50	lsun	99.9053	99.9848	99.8162	99.9836	99.9868
60	cifar10	64.5146	95.1593	89.1745	95.6996	94.2329
60	imagenet	99.0091	99.8526	98.3066	99.8474	99.8638
60	lsun	99.6611	99.9388	98.9330	99.9370	99.9426
70	cifar10	73.4787	96.6394	91.2444	95.2604	95.8663
70	imagenet	99.5700	99.9323	99.0344	99.9044	99.9349
70	lsun	99.9169	99.9814	99.5097	99.9811	99.9783
80	cifar10	74.8602	96.6930	90.8359	94.9140	96.1297
80	imagenet	99.6162	99.9409	99.2295	99.8887	99.8336
80	lsun	99.9153	99.9857	99.6352	99.9753	99.8756
90	cifar10	76.0238	97.1483	91.5125	92.6833	95.7457
90	imagenet	99.7390	99.8906	99.2910	99.8547	94.9405
90	lsun	99.9173	99.9123	99.7101	99.9772	91.3637
100	cifar10	75.7654	97.2957	90.9239	90.0732	96.4877
100	imagenet	99.6873	99.9566	99.2941	99.9083	99.9195
100	lsun	99.9071	99.9875	99.6982	99.9773	99.9459
