Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	cifar10	54.4522	93.7650	88.3875	95.1318	91.4630
10	imagenet	56.7010	94.2434	88.9919	95.5962	92.0611
10	lsun	52.5147	93.3648	87.8326	94.8099	90.8738
20	cifar10	51.4045	93.3933	87.6241	94.1068	91.1205
20	imagenet	57.7827	94.3689	88.8100	95.1398	92.5064
20	lsun	55.9675	94.0968	88.5623	94.9177	92.1522
30	cifar10	49.1314	93.2990	87.7738	93.7130	90.6073
30	imagenet	52.6243	93.8205	88.4462	94.2187	91.3558
30	lsun	53.1914	93.9405	88.5545	94.4204	91.5922
40	cifar10	52.0746	93.7867	88.4257	93.7666	90.9457
40	imagenet	55.6426	94.2547	88.9987	94.4213	91.6005
40	lsun	55.3396	94.2311	88.9661	94.6950	91.5794
50	cifar10	50.1092	90.5865	87.9062	91.7191	90.6859
50	imagenet	52.8463	94.0551	88.5202	92.8162	91.2451
50	lsun	51.5746	93.7903	87.9022	91.7954	90.9446
60	cifar10	46.7586	93.6427	86.9571	86.5407	90.0582
60	imagenet	49.1938	93.9148	87.4406	87.4921	90.5548
60	lsun	46.7280	93.6485	87.1256	86.8303	90.0555
70	cifar10	40.0476	91.4225	83.7528	85.1211	87.4441
70	imagenet	42.9553	91.9156	84.3704	86.3347	88.2619
70	lsun	44.5804	92.3392	85.3762	87.9525	88.9407
80	cifar10	63.0343	95.3671	90.1408	93.9554	93.6088
80	imagenet	65.8182	95.7054	90.4069	94.4938	94.1191
80	lsun	65.3310	95.6713	90.6194	94.8305	94.0256
90	cifar10	46.8453	93.4399	86.6492	86.5634	90.1772
90	imagenet	50.1797	93.8548	87.4292	88.0742	90.9793
90	lsun	48.3018	93.1495	86.9269	90.5923	90.5450
100	cifar10	57.8784	88.9068	89.7174	89.9709	92.6726
100	imagenet	59.3066	95.3137	90.0074	90.5356	92.8274
100	lsun	58.1923	95.2109	89.6109	89.8140	92.6221
