,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,99.78 $\pm$ 0.12,99.96 $\pm$ 0.02,99.38 $\pm$ 0.35,99.96 $\pm$ 0.02,99.96 $\pm$ 0.03
1,20,99.78 $\pm$ 0.19,99.97 $\pm$ 0.03,99.46 $\pm$ 0.3,99.97 $\pm$ 0.03,99.97 $\pm$ 0.02
2,30,99.88 $\pm$ 0.06,99.98 $\pm$ 0.01,99.67 $\pm$ 0.1,99.98 $\pm$ 0.01,99.98 $\pm$ 0.01
3,40,99.77 $\pm$ 0.11,99.96 $\pm$ 0.02,99.51 $\pm$ 0.29,99.96 $\pm$ 0.02,99.97 $\pm$ 0.02
4,50,99.15 $\pm$ 0.82,99.87 $\pm$ 0.13,98.65 $\pm$ 1.08,99.86 $\pm$ 0.13,99.88 $\pm$ 0.12
5,60,99.46 $\pm$ 0.37,99.91 $\pm$ 0.06,98.98 $\pm$ 0.65,99.91 $\pm$ 0.06,99.92 $\pm$ 0.05
6,70,99.49 $\pm$ 0.41,99.89 $\pm$ 0.11,98.99 $\pm$ 0.72,99.86 $\pm$ 0.09,99.77 $\pm$ 0.25
7,80,99.57 $\pm$ 0.24,99.85 $\pm$ 0.12,99.07 $\pm$ 0.57,99.84 $\pm$ 0.11,97.76 $\pm$ 2.77
8,90,99.63 $\pm$ 0.13,99.89 $\pm$ 0.03,99.16 $\pm$ 0.34,99.84 $\pm$ 0.08,98.93 $\pm$ 2.0
9,100,99.62 $\pm$ 0.12,99.89 $\pm$ 0.05,99.06 $\pm$ 0.4,99.84 $\pm$ 0.08,99.09 $\pm$ 1.45
