,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,99.93 $\pm$ 0.06,99.99 $\pm$ 0.01,99.73 $\pm$ 0.21,99.99 $\pm$ 0.01,99.98 $\pm$ 0.01
1,20,99.94 $\pm$ 0.08,99.99 $\pm$ 0.01,99.81 $\pm$ 0.17,99.99 $\pm$ 0.01,99.99 $\pm$ 0.01
2,30,99.98 $\pm$ 0.01,100.0 $\pm$ 0.0,99.93 $\pm$ 0.03,100.0 $\pm$ 0.0,100.0 $\pm$ 0.0
3,40,99.97 $\pm$ 0.03,99.99 $\pm$ 0.0,99.83 $\pm$ 0.14,99.99 $\pm$ 0.0,99.99 $\pm$ 0.0
4,50,99.51 $\pm$ 0.69,99.92 $\pm$ 0.11,99.13 $\pm$ 1.01,99.92 $\pm$ 0.11,99.93 $\pm$ 0.1
5,60,99.78 $\pm$ 0.19,99.96 $\pm$ 0.04,99.37 $\pm$ 0.54,99.95 $\pm$ 0.05,99.96 $\pm$ 0.03
6,70,99.8 $\pm$ 0.24,99.93 $\pm$ 0.09,99.39 $\pm$ 0.57,99.94 $\pm$ 0.06,99.8 $\pm$ 0.27
7,80,99.8 $\pm$ 0.21,99.92 $\pm$ 0.07,99.44 $\pm$ 0.44,99.94 $\pm$ 0.06,97.87 $\pm$ 2.53
8,90,99.88 $\pm$ 0.1,99.93 $\pm$ 0.04,99.57 $\pm$ 0.27,99.95 $\pm$ 0.05,98.24 $\pm$ 3.44
9,100,99.89 $\pm$ 0.07,99.9 $\pm$ 0.05,99.47 $\pm$ 0.28,99.95 $\pm$ 0.03,98.71 $\pm$ 2.31
