,Epoch,Test acc MEAN,Test acc STD,Test Acc
0,10,93.2,0.3540056496724313,93.2 $\pm$ 0.35
1,20,93.6,0.09186947262285111,93.6 $\pm$ 0.09
2,30,93.60600000000001,0.17816845961055805,93.61 $\pm$ 0.18
3,40,93.642,0.4007692602982409,93.64 $\pm$ 0.4
4,50,93.6,0.4579956331669561,93.6 $\pm$ 0.46
5,60,93.608,0.15289211882893095,93.61 $\pm$ 0.15
6,70,94.25,0.12361229712290232,94.25 $\pm$ 0.12
7,80,94.17,0.15861904047118464,94.17 $\pm$ 0.16
8,90,94.242,0.12155657119218162,94.24 $\pm$ 0.12
9,100,94.096,0.24038302768706338,94.1 $\pm$ 0.24
